"","Text","Retweets","Favorited"
"156","OMFG THAT SKITTLES COMMERCIAL #SettleItTheUsualWay","0","FALSE"
"157","that skittles commercial &gt;","1","FALSE"
"158","<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>LMFAO THAT SKITTLES COMMERCIAL","1","FALSE"
"159","Skittles commercial was stupid af <ed><U+00A0><U+00BD><ed><U+00B8><U+0090>","0","FALSE"
"160","Good commercial lol","0","FALSE"
"161","Skittles is by far the best commercial so far","0","FALSE"
"162","RT @Faux_Gruden: A Brady Bunch commercial following a Tom Brady interception. Wow. If there's a Willson commercial after this drive then my…","1135","FALSE"
"163","RT @bjnovak: Mesmerizing inspirational voiceover from 1960s icons for commercial products seems to be a theme here","400","FALSE"
"164","Yall see that cruise commercial!!? That's us @King_Wayne_Jr @RomaneJR @AKnight8688 @Nikki_Redz","0","FALSE"
"165","I have to say, the #Carnival cruise commercial was beautiful. #ComeBacktoTheSea is pretty bold. #Superbowl","0","FALSE"
"166","Bruh the skittle commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"167","That commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"168","RT @bjnovak: Mesmerizing inspirational voiceover from 1960s icons for commercial products seems to be a theme here","400","FALSE"
"169","the only way that cruise commercial would have gotten my attention is if they all sank at the same time #booooo #superbowlcommercials","0","FALSE"
"170","The Skittles commercial. <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"171","excellently composed carnival commercial.  still won't suffer a #seachange on a TA salary, though","0","FALSE"
"172","That commercial just said I was from the ocean hmmm too bad I came from Adam who was made of dirt","1","FALSE"
"173","ew that skittles commercial was gross <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>","0","FALSE"
"174","THAT SKITTLES COMMERCIAL WAS ART IN ITS PUREST FORM #SuperBowlXLIX","0","FALSE"
"175","That commercial looked like my jack arm","0","FALSE"
"176","Wtf commercial was that","0","FALSE"
"177","Fav commercial for my fav candy <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B2><U+0095>","0","FALSE"
"178","Lmao at this skittles commercial","0","FALSE"
"179","RT @Latina: .@officialDannyT talks about his hilarious #SuperBowl commercials &gt;&gt;  http://t.co/64qML5H13p #EatASNICKERS","6","FALSE"
"180","I thought this was a masturbation commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"181","These commercial be dumb <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"182","That skittle commercial. LMFAO. Even the babies were already jacking off back then smh.","0","FALSE"
"183","What kinda skittles commercial was that <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","1","FALSE"
"184","Skittles think they slick with that commercial.  Lol","0","FALSE"
"185","Skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","1","FALSE"
"186","I thought that Carnival Cruise commercial was going to end up being the Scientology spot.","0","FALSE"
"187","Love #CarnivalSunshine commercial but afraid zero young people know who that was. #SuperBowl","0","FALSE"
"188","That skittles commercial hahaha","2","FALSE"
"189","Budweiser’s Lost Dog Super Bowl Commercial 2015 – WATCH NOW! http://t.co/R9KIgAYChF","0","FALSE"
"190","Hey narrator for this cruise commercial...WHAT THE FUCK ARE YOU TALKING ABOUT?!? #SuperBowlXLIX #SuperBowl","3","FALSE"
"191","That skittle commercial was weird","0","FALSE"
"192","Favorite #SB49 commercial so far?","1","FALSE"
"193","SKITTLES MY GOD THAT COMMERCIAL HAS A SECRET MEANING <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"194","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"195","Cruise commercial using JFKs voice is not ok","0","FALSE"
"196","Best commercial!! Arm wrestling!!! Settle it the usual way. #skittles","0","FALSE"
"197","LMAOOOOO @ that skittles commercial","0","FALSE"
"198","RT @BleacherReport: VIDEO: Bryant Gumbel to Katie Couric in BMW’s new #SB49 commercial: ""Can you twerk?” http://t.co/4Yspub8N95 http://t.co…","452","FALSE"
"199","""Shhh there's a commercial on""-things only said during the Super Bowl","0","FALSE"
"200","The skittles commercial was really weird","0","FALSE"
"201","LMFAO, the skittles commercial is so funny.","1","FALSE"
"202","This skittles commercial <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"203","Why the heck was that arm wrestling commercial?!","0","FALSE"
"204","The skittle commercial was a fail","0","FALSE"
"205","That skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>","2","FALSE"
"206","Skittles commercial<ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"207","Thoughts on that skittles commercial?","0","FALSE"
"208","#lccsb49 this skittles commercial is mad yo lol","0","FALSE"
"209","Skittles wasted money on that commercial.","0","FALSE"
"210","RT @flawedfacade: LMAO THIS SKITTLES COMMERCIAL","5","FALSE"
"211","Nice commercial from Carnival. No mention of the norovirus though.","0","FALSE"
"212","That skittles commercial tho....","0","FALSE"
"213","Ok. That skittles commercial. #SuperBowl","0","FALSE"
"214","The dog in the skittles commercial <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082>","0","FALSE"
"215","I thought this skittles commercial was going in an entirely different direction","0","FALSE"
"216","@wild1017 @Jamnings I saw it in a commercial","0","FALSE"
"217","RT @francistancis: Love that speech about the sea but I hate how it was a cruise liner commercial and not like for the navy or something","2","FALSE"
"218","You could almost pay my yearly salary 5-times over with what it cost for 1 second of a Super Bowl commercial.","0","FALSE"
"219","I think I know why all the people had one big arm on the skittles commercial","0","FALSE"
"220","That skittles commercial was just awkward.","0","FALSE"
"221","RT @dailydamie: LOOKING FOR THE TRAILER EVERY TIME A COMMERCIAL COMES ON LIKE... #FiftyShades http://t.co/vfbGMj5TFV","34","FALSE"
"222","RT @BabyAnimalPics: still the greatest Super Bowl commercial ever https://t.co/Se1PsVJrgw","8533","FALSE"
"223","Carnival just totally ripped off the Ram Super Bowl commercial that aired a few years ago.","0","FALSE"
"224","That skittle commercial tho <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+00AD>","0","FALSE"
